GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",0,17,-,**
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",1347,71,69514,16052
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",1753,78,73036,11414
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",1945,84,30817,4533
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",831,67,33862,5001
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",2980,123,19150,3411
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",1835,82,13902,2195
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",0,12,-,**
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",1814,83,14628,3512
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",1059,46,26094,6164
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",1380,67,19237,4059
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",2340,87,48717,9422
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",478,55,28047,10820
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",1156,59,20852,2897
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",1289,47,24321,8061
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",100,54,34000,21378
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",397,35,36250,32762
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",1894,145,25513,3979
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",490,54,46809,6534
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",2025,125,18021,2644
