GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",8430,536,1184,267,4851,364,4,7,167,88,0,16,2028,263,196,99,125,73,71,64
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",5095,488,1606,460,1423,384,7,13,331,213,0,11,1538,553,190,142,7,13,183,141
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",5572,432,1674,382,1996,398,16,25,36,39,0,16,1800,478,50,45,0,16,50,45
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",5412,451,1855,455,1806,300,0,16,0,16,0,16,1660,499,91,77,53,64,38,38
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",2569,381,828,231,814,277,0,11,39,33,0,11,835,210,53,48,6,8,47,47
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",8959,801,1857,568,4016,824,157,152,290,287,0,16,2385,685,254,288,80,101,174,267
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",4860,510,779,284,2369,658,55,44,0,11,0,11,1556,406,101,85,0,11,101,85
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",5143,487,1394,450,1025,220,0,16,293,258,0,16,2293,538,138,89,94,62,44,54
