short_name,long_name,Community District,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
bp_units,Units authorized by new residential building permits,BK 05 - East New York/Starrett City,392,273,616,456,500,653,635,357,320,29,21,46,160,477,445,316,823
bp_units,Units authorized by new residential building permits,BK 16 - Brownsville,34,309,291,309,311,360,148,485,257,1,66,18,89,46,192,683,150
bp_units,Units authorized by new residential building permits,QN 10 - South Ozone Park/Howard Beach,107,43,93,240,155,163,204,181,63,24,26,23,22,53,39,28,32
bp_units,Units authorized by new residential building permits,BK 15 - Sheepshead Bay,134,95,111,320,248,423,271,164,280,51,8,27,23,103,119,491,134
bp_units,Units authorized by new residential building permits,BX 10 - Throgs Neck/Co-op City,236,189,276,287,477,335,209,140,80,37,26,9,202,43,30,88,55
bp_units,Units authorized by new residential building permits,SI 02 - South Beach/Willowbrook,784,440,521,707,440,542,267,184,123,117,85,117,110,129,194,104,365
bp_units,Units authorized by new residential building permits,BK 03 - Bedford Stuyvesant,125,206,895,685,670,780,790,551,603,93,102,80,401,482,763,2446,344
bp_units,Units authorized by new residential building permits,BK 18 - Flatlands/Canarsie,129,83,276,231,176,394,141,107,88,22,20,9,11,15,7,40,35
bp_units,Units authorized by new residential building permits,QN 08 - Hillcrest/Fresh Meadows,53,42,417,622,139,388,214,241,416,24,17,38,26,44,127,142,82
bp_units,Units authorized by new residential building permits,BK 01 - Greenpoint/Williamsburg,757,448,922,1455,880,1048,1513,2869,3335,112,3,18,372,1027,1644,6498,636
bp_units,Units authorized by new residential building permits,BX 08 - Riverdale/Fieldston,97,34,64,223,307,139,315,157,68,6,3,1,2,129,207,289,37
bp_units,Units authorized by new residential building permits,QN 05 - Ridgewood/Maspeth,101,75,117,123,754,278,271,182,63,49,37,15,33,60,75,262,62
bp_units,Units authorized by new residential building permits,BK 06 - Park Slope/Carroll Gardens,101,201,281,90,263,276,282,250,726,12,11,8,37,59,656,944,143
bp_units,Units authorized by new residential building permits,BX 05 - Fordham/University Heights,130,8,102,190,226,328,45,438,292,25,,,39,383,164,397,28
bp_units,Units authorized by new residential building permits,QN 09 - Kew Gardens/Woodhaven,64,84,104,192,273,234,341,261,134,73,10,15,25,20,14,50,14
bp_units,Units authorized by new residential building permits,BX 04 - Highbridge/Concourse,94,350,396,380,369,802,253,216,178,,6,12,107,117,128,552,333
bp_units,Units authorized by new residential building permits,MN 11 - East Harlem,334,485,1128,289,372,232,311,589,1296,39,84,,492,55,168,487,424
bp_units,Units authorized by new residential building permits,QN 11 - Bayside/Little Neck,51,61,97,167,214,259,248,177,136,103,114,66,60,83,62,106,89
bp_units,Units authorized by new residential building permits,QN 03 - Jackson Heights,114,220,150,320,381,406,415,260,221,110,21,26,32,59,78,63,212
bp_units,Units authorized by new residential building permits,BX 07 - Kingsbridge Heights/Bedford,3,10,77,4,121,77,298,91,312,66,1,,106,340,101,459,587
bp_units,Units authorized by new residential building permits,BK 07 - Sunset Park,81,55,170,75,257,549,420,216,353,11,16,10,48,98,43,321,96
bp_units,Units authorized by new residential building permits,BK 02 - Fort Greene/Brooklyn Heights,151,223,234,349,723,703,1318,1294,3061,3,4,19,221,2546,1937,3508,644
bp_units,Units authorized by new residential building permits,QN 07 - Flushing/Whitestone,529,646,365,636,944,783,692,1509,1008,238,183,159,397,538,286,1016,217
bp_units,Units authorized by new residential building permits,MN 05 - Midtown,1174,,1025,331,334,1087,939,280,580,18,17,,70,606,974,1535,506
bp_units,Units authorized by new residential building permits,MN 10 - Central Harlem,261,176,235,627,336,932,611,546,389,73,4,,381,169,135,379,126
bp_units,Units authorized by new residential building permits,QN 13 - Queens Village,112,301,95,93,204,268,1264,203,135,58,45,53,65,19,49,34,42
bp_units,Units authorized by new residential building permits,BK 10 - Bay Ridge/Dyker Heights,99,88,160,71,88,95,97,64,58,2,14,11,53,24,15,41,22
